Client_Number,Balance_1st_Mo,Balance_2d_Mo,Expenses_1st_Mo,Expenses_2d_Mo,Deposit_Credit_1st_Mo,Deposit_Credit_2d_Month,Two_Mo_Expenses_Select_Categories,Two_Mo_Income,Two_Mo_DTI_Ratio,Limit_Requested,Free_Cash_Flow,Limit_Free_Cash_Ratio,Credit_Approval
50,60670,6930,6830,14200,67500,21130,21030,88630,0.2,16400,33800,2.06,1
51,13330,4180,8060,24950,21390,29130,33010,50520,0.7,11300,8755,0.77,0
52,870,990,23890,150,24760,1140,24040,25900,0.9,18300,930,0.05,0
53,1120,14720,80,24880,1200,39600,24960,40800,0.6,39500,7920,0.2,0
54,500,47020,46790,29240,47290,76260,76030,123550,0.6,41900,23760,0.57,0
55,26420,8350,17630,9080,44050,17430,26710,61480,0.4,5200,17385,3.34,1
56,4750,20700,2550,50430,7300,71130,52980,78430,0.7,28300,12725,0.45,0
57,9980,27100,12640,8150,22620,35250,20790,57870,0.4,20200,18540,0.92,0
58,37090,2950,40690,61800,77780,64750,102490,142530,0.7,9500,20020,2.11,1
59,36840,2520,8200,71300,45040,73820,79500,118860,0.7,20600,19680,0.96,0
60,10560,1930,11110,45080,21670,47010,56190,68680,0.8,5900,6245,1.06,1
61,11910,73920,67330,860,79240,74780,68190,154020,0.4,26200,42915,1.64,1
62,28900,2150,19240,7260,48140,9410,26500,57550,0.5,22300,15525,0.7,0
63,25900,3370,5270,2710,31170,6080,7980,37250,0.2,2500,14635,5.85,1
64,36420,49140,32330,10290,68750,59430,42620,128180,0.3,19700,42780,2.17,1
65,130,8320,6770,5370,6900,13690,12140,20590,0.6,25900,4225,0.16,0
66,60430,15380,4270,44300,64700,59680,48570,124380,0.4,42300,37905,0.9,0
67,9450,6130,40830,18470,50280,24600,59300,74880,0.8,12500,7790,0.62,0
68,14200,32140,8930,5530,23130,37670,14460,60800,0.2,31200,23170,0.74,0
69,60880,34390,2610,34120,63490,68510,36730,132000,0.3,29000,47635,1.64,1
70,300,9260,2860,30190,3160,39450,33050,42610,0.8,7700,4780,0.62,0
71,27730,34640,7370,43640,35100,78280,51010,113380,0.4,48100,31185,0.65,0
72,9370,17020,2480,30800,11850,47820,33280,59670,0.6,6800,13195,1.94,1
73,37970,2040,17880,4720,55850,6760,22600,62610,0.4,900,20005,22.23,1
74,5950,38900,51320,5260,57270,44160,56580,101430,0.6,7700,22425,2.91,1
75,40230,24890,24480,46030,64710,70920,70510,135630,0.5,41100,32560,0.79,0
76,32870,170,13300,1290,46170,1460,14590,47630,0.3,42600,16520,0.39,0
77,21460,960,39180,22830,60640,23790,62010,84430,0.7,12600,11210,0.89,0
78,70,3640,24260,31560,24330,35200,55820,59530,0.9,35900,1855,0.05,0
79,33490,2870,30330,6440,63820,9310,36770,73130,0.5,29200,18180,0.62,0
80,2740,10360,20230,51220,22970,61580,71450,84550,0.8,7300,6550,0.9,0
81,8550,21840,19640,10060,28190,31900,29700,60090,0.5,10900,15195,1.39,1
82,2050,13850,69890,15390,71940,29240,85280,101180,0.8,27700,7950,0.29,0
83,3400,15420,17150,35700,20550,51120,52850,71670,0.7,9000,9410,1.05,1
84,33600,8660,24630,21860,58230,30520,46490,88750,0.5,16400,21130,1.29,1
85,13560,3780,61590,18840,75150,22620,80430,97770,0.8,23000,8670,0.38,0
86,550,1440,6100,61300,6650,62740,67400,69390,1,2500,995,0.4,0
87,14920,46310,46080,17310,61000,63620,63390,124620,0.5,24000,30615,1.28,1
88,130,710,10,440,140,1150,450,1290,0.3,15200,420,0.03,0
89,31740,4150,4360,700,36100,4850,5060,40950,0.1,21300,17945,0.84,0
90,16540,8270,5610,24790,22150,33060,30400,55210,0.6,21600,12405,0.57,0
91,23470,2850,49610,25770,73080,28620,75380,101700,0.7,19900,13160,0.66,0
92,1350,60380,12080,1920,13430,62300,14000,75730,0.2,16600,30865,1.86,1
93,34480,19530,19860,18640,54340,38170,38500,92510,0.4,41700,27005,0.65,0
94,4070,2340,62060,5360,66130,7700,67420,73830,0.9,18300,3205,0.18,0
95,38760,43500,2530,27260,41290,70760,29790,112050,0.3,38300,41130,1.07,1
96,22130,10150,13920,6810,36050,16960,20730,53010,0.4,40700,16140,0.4,0
97,15040,35880,31920,27210,46960,63090,59130,110050,0.5,45000,25460,0.57,0
98,1010,9390,24210,19920,25220,29310,44130,54530,0.8,23300,5200,0.22,0
99,9670,3640,52190,740,61860,4380,52930,66240,0.8,10800,6655,0.62,0
100,20640,50080,2790,16340,23430,66420,19130,89850,0.2,36300,35360,0.97,0
